Dátum,Registration,New,Elhunytak,Gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,New Deaths,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag.1,Hétnapos csúszóátlag.2,Hétnapos csúszóátlag.3,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hétnapos csúszóátlag.4,Második oltás,Második oltás napi,Hétnapos csúszóátlag.5,Hétnapos csúszóátlag.6
2020-03-23,167.0,36.0,8.0,21.0,5515.0,562.7551020408163,101.0,0.2748,0.0303,0.241,138.0,0.0479,0.1257,4001.0,1072.0,0.0336,2.0,5.0,,,0.8263473053892215,0.0,0.0,,,4.266666666666667,3.9363203463203464,18.285714285714285,1.0,577.8571428571429,0.03975714285714286,,,,,,,2.7142857142857144
2020-03-24,187.0,20.0,9.0,21.0,6113.0,623.7755102040816,92.0,0.1198,0.0306,0.108,157.0,0.0481,0.1123,4207.0,598.0,0.0334,1.0,0.0,,,0.839572192513369,0.0,0.0,,,3.6052631578947367,3.998976987924356,19.571428571428573,1.1428571428571428,646.5714285714286,0.0311,,,,,,,2.7142857142857144
2020-03-25,226.0,39.0,10.0,21.0,6817.0,695.6122448979592,85.0,0.2086,0.0332,0.115,195.0,0.0442,0.0929,,704.0,0.0554,1.0,0.0,,,0.8628318584070797,0.0,0.0,,,3.7333333333333334,3.9478947368421053,24.0,1.2857142857142858,716.2857142857143,0.03372857142857143,,,,,,,2.7142857142857144
2020-03-26,261.0,35.0,10.0,28.0,8005.0,816.8367346938775,100.0,0.1549,0.0326,0.174,223.0,0.0383,0.1073,,1188.0,0.0295,0.0,7.0,,,0.8544061302681992,0.0,0.0,,,3.2982456140350878,3.7405012531328325,26.857142857142858,1.2857142857142858,811.8571428571429,0.03381428571428571,,,,,,,3.7142857142857144
2020-03-27,300.0,39.0,10.0,34.0,9275.0,946.4285714285713,84.0,0.1494,0.0323,0.159,256.0,0.0333,0.1133,,1270.0,0.0307,0.0,6.0,,,0.8533333333333334,0.0,0.0,,,3.257575757575758,3.5772977899293688,30.714285714285715,0.8571428571428571,895.4285714285714,0.035699999999999996,,,,,,,3.857142857142857
2020-03-28,343.0,43.0,11.0,34.0,10303.0,1051.3265306122448,87.0,0.1433,0.0333,0.111,298.0,0.0321,0.0991,,1028.0,0.0418,1.0,0.0,,,0.8688046647230321,0.0,0.0,,,3.287671232876712,3.6298222517688994,34.285714285714285,1.0,975.1428571428571,0.0362,,,,,,,3.857142857142857
2020-03-29,408.0,65.0,13.0,34.0,12148.0,1239.5918367346937,71.0,0.1895,0.0336,0.179,361.0,0.0319,0.0833,,1845.0,0.0352,2.0,0.0,,,0.8848039215686274,0.0,0.0,,,2.797979797979798,3.463819365766013,39.57142857142857,1.0,1100.7142857142858,0.037085714285714284,,,,,,,2.5714285714285716
2020-03-30,447.0,39.0,15.0,34.0,13301.0,1357.2448979591836,73.0,0.0956,0.0336,0.095,398.0,0.0336,0.0761,,1153.0,0.0338,2.0,0.0,,,0.8903803131991052,0.0,0.0,,,2.1875,3.166795556242204,40.0,1.0,1112.2857142857142,0.03711428571428572,,,,,,,1.8571428571428572
2020-03-31,492.0,45.0,16.0,37.0,14146.0,1443.469387755102,61.0,0.1007,0.0348,0.064,439.0,0.0325,0.0752,,845.0,0.0533,2.0,3.0,,,0.8922764227642277,0.0,0.0,,,2.2262773722627736,2.9697975868662096,43.57142857142857,1.1428571428571428,1147.5714285714287,0.03995714285714286,,,,,,,2.2857142857142856
2020-04-01,525.0,33.0,20.0,40.0,15208.0,1551.8367346938774,61.0,0.0671,0.0345,0.075,465.0,0.0381,0.0762,,1062.0,0.0311,4.0,3.0,,,0.8857142857142857,0.0,0.0,,,1.7797619047619047,2.6907159542131476,42.714285714285715,1.5714285714285714,1198.7142857142858,0.03648571428571429,,,,,,,2.7142857142857144
